Item,Start Date ,Start Time,End Date,End Time,Component,Description,"Duration of Downtime
(hours - hh:mm)",,,,
,1-May,16:42,1-May,16:52,MA1,Insulation failure,0:10:00,,,,
,1-May,16:44,1-May,16:52,MC1,Insulation failure,0:08:00,,,,
,1-May,16:48,1-May,16:51,MC2,Insulation failure,0:03:00,,,,
,1-May,17:07,1-May,17:35,MA1,Insulation failure,0:28:00,,,,
,1-May,17:10,1-May,17:40,MC1,Insulation failure,0:30:00,,,,
,1-May,17:13,1-May,17:29,MB6,Insulation failure,0:16:00,,,,
,1-May,17:48,1-May,17:51,MA1,Insulation failure,0:03:00,,,,
,1-May,18:23,1-May,18:43,MA4,Insulation failure,0:20:00,,,,
,1-May,18:27,1-May,18:43,MA1,Insulation failure,0:16:00,,,,
,2-May,7:06,2-May,8:48,MA4,Insulation failure,1:42:00,,,,
,2-May,7:33,2-May,7:45,MB2,Insulation failure,0:12:00,,,,
,2-May,8:24,2-May,8:30,MB2,Insulation failure,0:06:00,,,,
,2-May,8:33,2-May,8:58,MC2,Insulation failure,0:25:00,,,,
,3-May,7:26,3-May,7:43,MB6,Insulation failure,0:17:00,,,,
,3-May,7:53,3-May,7:55,MB6,Insulation failure,0:02:00,,,,
,3-May,7:58,3-May,8:01,MB6,Insulation failure,0:03:00,,,,
,4-May,8:20,4-May,8:24,MC1,Insulation failure,0:04:00,,,,
,4-May,8:55,4-May,8:57,MC4,Insulation failure,0:02:00,,,,
,4-May,9:33,4-May,10:01,MC1,Insulation failure,0:28:00,,,,
,4-May,9:33,4-May,10:01,MD3,Insulation failure,0:28:00,,,,
,4-May,9:42,4-May,10:09,MC4,Insulation failure,0:27:00,,,,
,4-May,10:07,4-May,10:18,MC1,Insulation failure,0:11:00,,,,
,4-May,10:41,4-May,10:49,MC4,Insulation failure,0:08:00,,,,
,5-May,7:20,5-May,7:45,MD2,Insulation failure,0:25:00,,,,
,6-May,14:53,6-May,15:12,MD1,Insulation failure,0:19:00,,,,
,6-May,15:03,6-May,15:12,MB4,Insulation failure,0:09:00,,,,
,6-May,16:23,6-May,16:24,MD3,Insulation failure,0:01:00,,,,
,6-May,16:27,6-May,16:34,MD3,Insulation failure,0:07:00,,,,
,6-May,16:59,6-May,17:02,MC2,Insulation failure,0:03:00,,,,
,7-May,8:08,7-May,8:32,MC2,Insulation failure,0:24:00,,,,
,7-May,13:28,7-May,13:29,MD3,Insulation failure,0:01:00,,,,
,7-May,13:43,7-May,13:45,MD3,Insulation failure,0:02:00,,,,
,7-May,17:01,7-May,17:08,MB6,Insulation failure,0:07:00,,,,
,7-May,17:03,7-May,17:09,MA1,Insulation failure,0:06:00,,,,
,7-May,18:38,7-May,19:06,MB3,Insulation failure,0:28:00,,,,
,8-May,8:56,8-May,9:04,MB1,Unspecified HW fault,0:08:00,,,,
,8-May,9:10,8-May,9:13,MB1,Unspecified HW fault,0:03:00,,,,
,9-May,7:55,9-May,8:04,MB1,Insulation failure,0:09:00,,,,
,9-May,8:16,9-May,8:32,MA1,Insulation failure,0:16:00,,,,
,9-May,8:19,9-May,8:31,MB1,Insulation failure,0:12:00,,,,
,9-May,9:19,9-May,9:20,MB1,Unspecified HW fault,0:01:00,,,,
,9-May,17:02,9-May,17:03,MC3,Insulation failure,0:01:00,,,,
,9-May,17:09,9-May,17:33,MC3,Insulation failure,0:24:00,,,,
,10-May,8:54,10-May,9:01,MB1,Unspecified HW fault,0:07:00,,,,
,10-May,17:14,10-May,17:21,MC3,Insulation failure,0:07:00,,,,
,11-May,7:24,11-May,7:39,MC3,Insulation failure,0:15:00,,,,
,11-May,17:19,11-May,18:46,MC3,Insulation failure,1:27:00,,,,
,12-May,7:24,12-May,7:30,MB6,Insulation failure,0:06:00,,,,
,12-May,8:42,12-May,9:59,MC3,Insulation failure,1:17:00,,,,
,12-May,11:32,12-May,11:39,MD1,Insulation failure,0:07:00,,,,
,15-May,7:03,15-May,7:21,MB6,Insulation failure,0:18:00,,,,
,15-May,9:26,15-May,9:46,MB6,Insulation failure,0:20:00,,,,
,15-May,10:17,15-May,10:18,MB6,Insulation failure,0:01:00,,,,
,15-May,10:36,15-May,10:37,MB6,Insulation failure,0:01:00,,,,
,15-May,10:58,15-May,10:59,MB6,Insulation failure,0:01:00,,,,
,15-May,11:16,15-May,11:22,MB6,Insulation failure,0:06:00,,,,
,15-May,11:26,15-May,11:27,MB6,Insulation failure,0:01:00,,,,
,15-May,11:32,15-May,11:37,MB6,Insulation failure,0:05:00,,,,
,15-May,11:41,15-May,11:44,MB6,Insulation failure,0:03:00,,,,
,15-May,11:51,15-May,11:54,MB6,Insulation failure,0:03:00,,,,
,15-May,12:06,15-May,12:37,MB6,Insulation failure,0:31:00,,,,
,15-May,12:40,15-May,14:03,MB6,Insulation failure,1:23:00,,,,
,16-May,12:41,16-May,12:42,MA5,Insulation failure,0:01:00,,,,
,16-May,13:02,16-May,13:06,MB4,Insulation failure,0:04:00,,,,
,17-May,7:06,17-May,7:27,MA3,Insulation failure,0:21:00,,,,
,17-May,7:10,17-May,7:39,MA4,Insulation failure,0:29:00,,,,
,17-May,7:24,17-May,7:52,MC6,Insulation failure,0:28:00,,,,
,17-May,8:45,17-May,9:13,MC2,Insulation failure,0:28:00,,,,
,17-May,8:45,17-May,9:13,MC6,Insulation failure,0:28:00,,,,
,17-May,8:46,17-May,9:14,MB2,Insulation failure,0:28:00,,,,
,17-May,8:51,17-May,9:19,MD5,Insulation failure,0:28:00,,,,
,17-May,9:02,17-May,9:29,MA3,Insulation failure,0:27:00,,,,
,17-May,9:23,17-May,9:31,MD5,Insulation failure,0:08:00,,,,
,17-May,9:56,17-May,10:03,MA3,Insulation failure,0:07:00,,,,
,17-May,10:01,17-May,10:29,MB5,Insulation failure,0:28:00,,,,
,17-May,10:41,17-May,10:44,MB5,Insulation failure,0:03:00,,,,
,17-May,10:49,17-May,11:00,MB2,Insulation failure,0:11:00,,,,
,17-May,11:59,17-May,12:00,MD5,Insulation failure,0:01:00,,,,
,17-May,12:16,17-May,12:34,MD1,Insulation failure,0:18:00,,,,
,17-May,13:29,17-May,13:56,MD1,Insulation failure,0:27:00,,,,
,18-May,8:21,18-May,8:29,MB2,Insulation failure,0:08:00,,,,
,18-May,8:46,18-May,8:56,MC4,Insulation failure,0:10:00,,,,
,18-May,8:51,18-May,8:52,MB2,Insulation failure,0:01:00,,,,
,18-May,17:19,18-May,17:27,MB2,Insulation failure,0:08:00,,,,
,18-May,17:38,18-May,17:40,MB2,Insulation failure,0:02:00,,,,
,19-May,9:29,19-May,9:53,MB2,Insulation failure,0:24:00,,,,
,19-May,10:11,19-May,10:39,MB2,Insulation failure,0:28:00,,,,
,19-May,12:14,19-May,12:17,MD5,Insulation failure,0:03:00,,,,
,19-May,12:22,19-May,12:35,MD5,Insulation failure,0:13:00,,,,
,19-May,16:23,19-May,16:51,MB4,Insulation failure,0:28:00,,,,
,20-May,7:27,20-May,7:34,MB6,Insulation failure,0:07:00,,,,
,21-May,12:25,21-May,13:19,MB6,Insulation failure,0:54:00,,,,
,22-May,7:18,22-May,7:51,MC6,Insulation failure,0:33:00,,,,
,22-May,7:24,22-May,7:50,MA6,Insulation failure,0:26:00,,,,
,22-May,7:32,22-May,7:52,MB6,Insulation failure,0:20:00,,,,
,22-May,7:46,22-May,7:49,MD2,Insulation failure,0:03:00,,,,
,22-May,7:55,22-May,7:57,MB6,Insulation failure,0:02:00,,,,
,22-May,8:03,22-May,8:07,MD2,Insulation failure,0:04:00,,,,
,22-May,8:28,22-May,8:31,MD2,Insulation failure,0:03:00,,,,
,22-May,8:41,22-May,8:42,MB6,Insulation failure,0:01:00,,,,
,22-May,9:01,22-May,9:03,MD2,Insulation failure,0:02:00,,,,
,22-May,9:12,22-May,9:17,MD2,Insulation failure,0:05:00,,,,
,22-May,9:17,22-May,9:18,MB4,Insulation failure,0:01:00,,,,
,22-May,9:46,22-May,9:48,MD2,Insulation failure,0:02:00,,,,
,22-May,9:51,22-May,10:18,MB4,Insulation failure,0:27:00,,,,
,22-May,9:56,22-May,10:21,MC6,Insulation failure,0:25:00,,,,
,22-May,10:07,22-May,10:20,MD6,Insulation failure,0:13:00,,,,
,22-May,10:09,22-May,10:28,MB6,Insulation failure,0:19:00,,,,
,22-May,10:15,22-May,10:20,MD2,Insulation failure,0:05:00,,,,
,22-May,10:25,22-May,11:03,MC6,Insulation failure,0:38:00,,,,
,22-May,10:39,22-May,10:49,MB6,Insulation failure,0:10:00,,,,
,22-May,10:40,22-May,10:49,MD2,Insulation failure,0:09:00,,,,
,23-May,7:21,23-May,7:31,MD6,Insulation failure,0:10:00,,,,
,23-May,7:30,23-May,7:33,MD2,Insulation failure,0:03:00,,,,
,23-May,8:01,23-May,8:05,MB1,Insulation failure,0:04:00,,,,
,23-May,8:06,23-May,8:17,MD2,Insulation failure,0:11:00,,,,
,27-May,7:52,27-May,7:54,MD2,Insulation failure,0:02:00,,,,
